Unnamed: 0,Timestamp,SLPR7:Voltage A:Angle,SLPR7:Voltage B:Angle,SLPR7:Voltage C:Angle,RAICHUR 400 KV:Frequency,SLPR7:Frequency,Raichur-SLPR1(MVAR):Analog,SLPR-RACHR1 (MVAR):Analog,RACHR-SLPR1-7 Va:Voltage A:Magnitude,RACHR-SLPR1-7 Vb:Voltage B:Magnitude,RACHR-SLPR1-7 Vc:Voltage C:Magnitude,SLPR7:Voltage A:Magnitude,SLPR7:Voltage B:Magnitude,SLPR7:Voltage C:Magnitude,Raichur-SLPR1(MW):Analog,SLPR-RACHR1 (MW):Analog,anomaly,deviation
21261,2014/12/20 05:44:05.960,10.3761,-110.237,129.7415,49.9564,49.9568,-16709294.0,-234274944.0,443248.75,445411.7188,441910.5938,431981.375,432923.5313,431191.3125,-195787520.0,196720304.0,1,28.843115421482636
21234,2014/12/20 05:44:04.880,27.1898,-93.4235,146.5559,49.9573,49.957,-20479806.0,-232182960.0,443467.25,445658.375,442153.625,432294.7813,433271.5938,431534.4063,-182401792.0,184623776.0,1,28.80681070001765
21323,2014/12/20 05:44:08.440,-27.7146,-148.3255,91.651,49.9572,49.957,-20049096.0,-232577072.0,443435.5625,445614.4063,442112.7813,432255.75,433225.3125,431494.1563,-190825120.0,191319504.0,1,28.799286321512643
21362,2014/12/20 05:44:10.000,-51.6253,-172.2377,67.7349,49.9576,49.9582,-15254298.0,-234790992.0,443182.75,445360.25,441835.25,431898.5625,432863.625,431105.5625,-203531712.0,204789456.0,1,28.79277495341964
21264,2014/12/20 05:44:06.080,8.5147,-112.0983,127.8768,49.9565,49.9569,-16112972.0,-234412592.0,443222.0938,445398.6875,441890.4375,431951.375,432916.9063,431168.6563,-198550096.0,198829584.0,1,28.78656600531043
21271,2014/12/20 05:44:06.360,4.1841,-116.4311,123.5461,49.9569,49.9571,-17376824.0,-234963984.0,443223.625,445392.0938,441863.5938,431935.1563,432885.5313,431127.9375,-199532480.0,201419232.0,1,28.76986451557497
21270,2014/12/20 05:44:06.320,4.8011,-115.8136,124.1631,49.9567,49.9571,-17545132.0,-234853392.0,443223.875,445394.7188,441872.75,431939.25,432892.9688,431135.5938,-199293904.0,201155056.0,1,28.759509896962104
21265,2014/12/20 05:44:06.120,7.8904,-112.7219,127.2536,49.9564,49.957,-16194084.0,-234460512.0,443221.3125,445391.1875,441889.1563,431943.3125,432900.5313,431159.5313,-199256960.0,199396624.0,1,28.748051980249485
21266,2014/12/20 05:44:06.160,7.2758,-113.3376,126.6399,49.9564,49.9571,-16544334.0,-234542032.0,443222.2188,445388.3438,441888.125,431953.2813,432898.2188,431154.875,-199516432.0,199841136.0,1,28.686572352804944
21363,2014/12/20 05:44:10.040,-52.2294,-172.8421,67.1312,49.9576,49.9583,-14982192.0,-234873296.0,443184.4375,445359.1875,441835.625,431900.2813,432859.4063,431101.5,-204243216.0,205408976.0,1,28.682725926669008
21272,2014/12/20 05:44:06.400,3.5698,-117.0465,122.9324,49.957,49.9571,-16892950.0,-235130400.0,443222.9063,445386.2188,441858.5625,431931.8125,432870.5313,431110.9688,-199724000.0,201561520.0,1,28.680525460281945
21269,2014/12/20 05:44:06.280,5.4189,-115.1952,124.7816,49.9568,49.957,-17410148.0,-234842688.0,443223.9375,445396.375,441878.5938,431927.4063,432880.4063,431127.2813,-199241680.0,200818736.0,1,28.680164056258285
21268,2014/12/20 05:44:06.240,6.0405,-114.573,125.4035,49.957,49.957,-17267348.0,-234774688.0,443223.4063,445393.8125,441884.125,431924.9688,432879.0938,431129.7813,-199286304.0,200518944.0,1,28.610750560814562
21267,2014/12/20 05:44:06.200,6.6613,-113.9529,126.0245,49.9568,49.957,-16967188.0,-234661568.0,443223.125,445390.9063,441887.4688,431947.9375,432896.6563,431146.1875,-199426784.0,200223264.0,1,28.60156268885066
